Код;Название;Краткое описание;Производитель;Артикул;Страна происхождения;Раздел 1;Раздел 2; Раздел 3; Остаток;Розничная;Розничная спец;Оптовая;Оптовая спец;Валюта 1;Валюта 2;Валюта 3;Валюта 4;Мин розничная цена;Мин оптовая цена;Размер скидки розн;Размер скидки опт;Количество для заказа (опт);Яндекс.Маркет;Только для розницы;
D00080379;Адаптер ДА-10/10,8ЭР Li-ion уценен;;Интерскол запчасти;92.02.01.00.00У;Китай;Запчасти для электроинструмента;Запчасти для шуруповертов аккумуляторных;;1;130;65;100;50;RUB;RUB;RUB;RUB;65;50;50;50;1;0;0
D00063240;Адаптер для коронок Bi-Metal SDS+ D 32-230мм Энкор;Тип хвостовика SDS+, подходит под коронки диаметром 32-230 мм.;Энкор;24528;КНР;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;490;;374;;RUB;;RUB;;490;374;;;1;0;0
D00060288;"Адаптер для коронок hex 3/8"" D 32-127мм по дереву";;Энкор;24630;КНР;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;163;;124;;RUB;;RUB;;163;124;;;1;0;0
D00004022;Адаптер для коронок S1/4 ф14-30мм;;Энкор;24521;Китай;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;260;;199;;RUB;;RUB;;260;199;;;1;0;0
D00004023;"Адаптер для коронок S3/8"" ф14-30мм";;Энкор;24522;КНР;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;251;;192;;RUB;;RUB;;251;192;;;1;0;0
D00004024;"Адаптер для коронок S3/8"" ф32-210мм";;Энкор;24526;КНР;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;3;491;;374;;RUB;;RUB;;491;374;;;1;0;0
D00016162;Адаптер для коронок алмазных ф20-25мм;;Энкор;9451;КНР;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;314;;240;;RUB;;RUB;;314;240;;;1;0;0
D00016163;Адаптер для коронок алмазных ф29-83мм;;Энкор;9452;Китай;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;323;;246;;RUB;;RUB;;323;246;;;1;0;0
D00017521;Адаптер для коронок карбидных с напр.сверл;;Энкор;57022;КНР;Электроинструмент;Оснастка и расходники для электроинструмента;Адаптеры для оснастки;1;413;;315;;RUB;;RUB;;413;315;;;1;0;0
D00058691;"Адаптер для коронок по дереву 1/4"" D 19-30мм Энкор";;Энкор;24629;КНР;Электроинструмент;Оснастка и расходники для электроинструмента;Коронки по дереву;1;150;;114;;RUB;;RUB;;150;114;;;1;0;0
D00061241;Адаптер для скважины подкл. 1 дюйм ADS-32 JEMIX;Материал адаптера бронза. Вес адаптера 1,25 кг. Рекомендуется для установки в скважину диаметром от 113 мм;JEMIX;ADS-32  из Бронзы;Тайвань (Китай);Насосы;Принадлежности для насосов;;1;5300;;3549;;RUB;;RUB;;5300;3549;;;1;0;0
D00070745;Адаптер ЗУ для аккумулятора 12В АЗУ-12В Интерскол;Количество слотов для зарядки 1, тип аккумулятора Li-ion, напряжение заряжаемых АКБ 12В.;Интерскол;736.1.0.00;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;660;;493;;RUB;;RUB;;660;493;;;1;0;0
D00070746;Адаптер ЗУ для аккумулятора 12В АЗУ-18В Интерскол;Количество слотов для зарядки 1, тип аккумулятора Li-ion, напряжение заряжаемых АКБ 18В.;Интерскол;737.1.0.00;Китай;Электроинструмент;Аккумуляторы и зарядные устройства для инструмента;Аккумуляторы;1;660;;493;;RUB;;RUB;;660;493;;;1;0;0
D00073267;"Адаптер к насосу G1 Джилекс ""УЖ""";;Джилекс;9817;Россия;Насосы;Принадлежности для насосов;;1;160;;123;;RUB;;RUB;;160;123;;;1;0;0
